matrix_generated_at,task_id,acceptance_unit_id,canonical_acceptance_unit_id,independent_unit_contribution,gpu_review_path,npu_progress_path,contract_name,stage,manifest_status,review_status,denominator_eligible,variant_count,verified_variant_count,pending_variant_count,coverage_status,community_test_count,reference_backend,reference_status,required_npu_backend,observed_npu_backend,npu_execution_status,npu_correctness_status,comparison_verdict,repair_status,community_alignment_status,community_alignment_source,community_aligned_scope,community_divergent_scope,community_open_scope,community_alignment_disposition,performance_status,performance_verdict,current_phase,updated_at,manifest_path,npu_result_path,comparison_result_path,performance_evidence_path
2026-09-11T18:53:51+08:00,T-076,AU-post-grad-mm-plus-mm,AU-post-grad-mm-plus-mm,1,,,两个矩阵乘结果相加的 post-grad 匹配与可选融合合同,post_grad,t076-functional-comparison-and-performance-disposition-complete,frozen,yes-frozen,3,3,0,fully-covered,1,inductor-default,frozen-reference-valid,triton_experimental,triton_experimental,passed,passed,BEHAVIOR_UNCHANGED,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,measured,representative-beneficial-with-neutral-layouts,functional-comparison-closed,2026-09-03T01:07:00+08:00,upstream/manifest.yaml,results/current/REF-mm-plus-mm-native/npu_result.json,results/current/REF-mm-plus-mm-native/comparison_result.json,results/current/T-076/performance_summary.json
2026-09-11T18:53:51+08:00,T-076,AU-pad-mm-mm,AU-pad-mm-mm,1,,,二维 mm 的 shape-padding、slice 与输出合同,joint_graph,t076-functional-comparison-and-performance-disposition-complete,frozen,yes-frozen,4,4,0,fully-covered,4,inductor-default,frozen-reference-valid,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,not-required-explicitly-disabled,product-disabled-performance-exempt,functional-comparison-closed,2026-09-03T01:07:00+08:00,upstream/manifest.yaml,results/current/AU-pad-mm-mm/npu_result.json,results/current/AU-pad-mm-mm/comparison_result.json,results/current/T-076/performance_summary.json
2026-09-11T18:53:51+08:00,T-076,AU-pad-mm-bmm,AU-pad-mm-bmm,1,,,批量 bmm 的 shape-padding、slice 与 dtype/梯度合同,joint_graph,t076-functional-comparison-and-performance-disposition-complete,frozen,yes-frozen,4,4,0,fully-covered,3,inductor-default,frozen-reference-valid,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,not-required-explicitly-disabled,product-disabled-performance-exempt,functional-comparison-closed,2026-09-03T01:07:00+08:00,upstream/manifest.yaml,results/current/AU-pad-mm-bmm/npu_result.json,results/current/AU-pad-mm-bmm/comparison_result.json,results/current/T-076/performance_summary.json
2026-09-11T18:53:51+08:00,T-076,AU-pad-mm-addmm,AU-pad-mm-addmm,1,,,addmm 的 shape-padding、bias broadcast 与 beta/alpha guard 合同,joint_graph,t076-functional-comparison-and-performance-disposition-complete,frozen,yes-frozen,5,5,0,fully-covered,3,inductor-default,frozen-reference-valid,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,not-required-explicitly-disabled,product-disabled-performance-exempt,functional-comparison-closed,2026-09-03T01:07:00+08:00,upstream/manifest.yaml,results/current/AU-pad-mm-addmm/npu_result.json,results/current/AU-pad-mm-addmm/comparison_result.json,results/current/T-076/performance_summary.json
2026-09-11T18:53:51+08:00,T-076,AU-post-grad-addmm,AU-post-grad-addmm,1,,,add+mm 与 mm+add 重写为 aten.addmm 的 post-grad 合同,post_grad,t076-functional-comparison-and-performance-disposition-complete,frozen,yes-frozen,4,4,0,fully-covered,2,inductor-default,frozen-reference-valid,triton_experimental,triton_experimental,failed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,measured,beneficial-with-host-tail-monitor,functional-comparison-closed,2026-09-03T01:07:00+08:00,upstream/manifest.yaml,results/current/AU-post-grad-addmm/npu_result.json,results/current/AU-post-grad-addmm/comparison_result.json,results/current/T-076/performance_summary.json
2026-09-11T18:53:51+08:00,T-077,AU-apply-gumbel-max-trick,AU-apply-gumbel-max-trick,1,,,softmax-div-exponential-argmax 到 Gumbel-max 等价采样的 pre-grad 重写合同,pre_grad,t077-functional-comparison-and-performance-disposition-complete-with-verified-repair,frozen-reference-valid,yes-frozen,1,1,0,fully-covered,1,inductor-default,valid-reference-suite,triton_experimental,triton_experimental,passed,passed,PERF_IMPROVED,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,passed,PERF_IMPROVED,functional-comparison-closed,2026-09-03T07:30:00+08:00,upstream/t077_manifest.yaml,results/current/AU-apply-gumbel-max-trick/npu_result.json,results/current/AU-apply-gumbel-max-trick/comparison_result.json,results/current/T-077/performance_summary.json
2026-09-11T18:53:51+08:00,T-077,AU-b2b-gemm,AU-b2b-gemm,1,,,两级矩阵乘及中间 pointwise 子图的 B2B GEMM 选择合同,post_grad,t077-functional-comparison-and-performance-disposition-complete-with-verified-repair,frozen-reference-valid,yes-frozen,6,6,0,fully-covered,6,inductor-default,valid-reference-suite,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,capability-assessed-no-effective-template,CAPABILITY_REJECTED_NO_EFFECTIVE_TEMPLATE,functional-comparison-closed,2026-09-03T07:30:00+08:00,upstream/t077_manifest.yaml,results/current/AU-b2b-gemm/npu_result.json,results/current/AU-b2b-gemm/comparison_result.json,results/current/T-077/performance_summary.json
2026-09-11T18:53:51+08:00,T-077,AU-decompose-mem-bound-mm-decompose-bmm,AU-decompose-mem-bound-mm-decompose-bmm,1,,,大 batch 小矩阵 BMM 的 memory-bound pointwise 分解合同,post_grad,t077-functional-comparison-and-performance-disposition-complete-with-verified-repair,frozen-reference-valid,yes-frozen,3,3,0,fully-covered,1,inductor-default,valid-reference-suite,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,measured-candidate-rejected,PERF_REGRESSED,functional-comparison-closed,2026-09-03T07:30:00+08:00,upstream/t077_manifest.yaml,results/current/AU-decompose-mem-bound-mm-decompose-bmm/npu_result.json,results/current/AU-decompose-mem-bound-mm-decompose-bmm/comparison_result.json,results/current/T-077/performance_summary.json
2026-09-11T18:53:51+08:00,T-077,AU-decompose-mem-bound-mm-decompose-mm,AU-decompose-mem-bound-mm-decompose-mm,1,,,大 M 小 K/N 矩阵乘的 memory-bound pointwise 分解合同,post_grad,t077-functional-comparison-and-performance-disposition-complete-with-verified-repair,frozen-reference-valid,yes-frozen,6,6,0,fully-covered,2,inductor-default,valid-reference-suite,triton_experimental,triton_experimental,passed,passed,NPU_REGRESSION,verified,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,measured-candidate-rejected,PERF_REGRESSED,functional-comparison-closed,2026-09-03T07:30:00+08:00,upstream/t077_manifest.yaml,results/current/AU-decompose-mem-bound-mm-decompose-mm/npu_result.json,results/current/AU-decompose-mem-bound-mm-decompose-mm/comparison_result.json,results/current/T-077/performance_summary.json
2026-09-11T18:53:51+08:00,T-077,AU-decompose-mem-bound-mm-decompose-addmm,AU-decompose-mem-bound-mm-decompose-addmm,1,,,动态大 M、小 K/N addmm 的 memory-bound pointwise 分解合同,post_grad,t077-functional-comparison-and-performance-disposition-complete-with-verified-repair,frozen-reference-valid,yes-frozen,1,1,0,fully-covered,1,inductor-default,valid-reference-suite,triton_experimental,triton_experimental,passed,passed,EXPECTED_PRODUCT_DIVERGENCE,not-needed,PENDING_REVIEW,legacy-missing-explicit,,,历史结果缺少显式社区对齐范围，需在后续再认证时补录,保留原功能/性能结论，但不得据此外推为完全社区对齐,measured-candidate-rejected,PERF_REGRESSED,functional-comparison-closed,2026-09-03T07:30:00+08:00,upstream/t077_manifest.yaml,results/current/AU-decompose-mem-bound-mm-decompose-addmm/npu_result.json,results/current/AU-decompose-mem-bound-mm-decompose-addmm/comparison_result.json,results/current/T-077/performance_summary.json
